,mo_mi,mo_mi,mo_mi,mo_mi,mo_mi,mo_mi,mo_mi,mo_mi,tau,tau,tau,tau,tau,tau,tau,tau
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Type,,,,,,,,,,,,,,,,
catchment,21.0,0.4861904542405454,0.13272064082845145,0.23000026083370448,0.3899996333449659,0.4899998666599759,0.5599999637416487,0.6899999561096755,21.0,2.8523809523809525,3.089274841709466,0.4,1.0,2.1,3.1,13.5
estuary,2.0,0.606342378384849,0.15039076633384066,0.5000000476823486,0.5531712130335987,0.606342378384849,0.659513543736099,0.7126847090873492,2.0,1.23630137,0.3729261789252047,0.97260274,1.104452055,1.23630137,1.368150685,1.5
lake,48.0,0.5932708333333333,0.2039955923161017,0.09599999999999997,0.48724999999999996,0.5785,0.69925,0.994,48.0,20.58458333333333,101.94345455929121,0.07,0.715,1.68,2.825,692.0
reservoir,7.0,0.8181428571428571,0.1655389466474366,0.5529999999999999,0.731,0.789,0.9624999999999999,0.998,7.0,0.35714285714285715,0.4268768083695922,0.05,0.15,0.23,0.31000000000000005,1.3
river,14.0,0.7734691197331571,0.20608647381964712,0.36,0.668333333,0.81,0.9480203026613161,1.0,14.0,0.017082517801304632,0.03910255408229005,0.00011415525205479451,0.0005121043438356164,0.0019339958575342467,0.012271689497945205,0.148356164
