Site,Type,Lat,Lon,tau,mo_mi,Ref,Source,Country
Malawi,lake,-14.4,35.233333333333334,692.0,0.09599999999999997,E2017 (S16),E2017,Malawi
"Fluvià River, NE Spain",river,42.1892,2.7673,0.0006849315068493151,1.0,Casas-Ruiz et al. (2017),This study,Spain
"Wood Brook, England",river,52.800938,-2.305389,0.00024926193972602743,0.982608696,Khamis et al. (2021),This study,UK
"Creeping Swamp, North Carolina",river,35.415,-77.193,0.02536783358630137,0.36,Mulholland (1981),This study,USA
"Fort River, Massachusetts",river,42.336,-72.574,0.00036254995342465757,0.96,Fisher (1977),This study,USA
"Tianmu Lake catchment, SE China",river,31.222847,119.391676,0.002426246487671233,0.713333333,Gong et al. (2021),This study,China
"Yankou Reservoir catchment, SE China",river,29.314821,119.90725,0.0014417452273972602,0.654444444,Gong et al. (2021),This study,China
"Glensaugh, Scotland",river,56.906198,-2.558902,0.00011415525205479451,0.77,Demars (2019),This study,UK
"River Ipswich, Massachusetts, USA",river,42.677269,-70.837892,0.0136986301369863,0.85,Wollheim et al. (2015),This study,USA
"Brocky Burn, NE Scotland",river,56.94171,-2.63811,0.0005758146328767123,0.863,Dawson et al. (2001),This study,UK
"River Tees, England",river,54.5187,-1.60243,0.007990867580821917,0.415,Moody et al. (2013),This study,UK
"Trout Beck, England",river,54.69675,-2.37526,0.0004908675808219178,0.71,Moody et al. (2016),This study,UK
