Name,Latitude,Longitude,Country,Type,Nutrient Status,Catchment_area_ha,Waterbody area_ha,Volume_m3,Discharge_m_per_yr,WRT_yr,DOCin,DOCout,DOCout/DOCin,R_DOC,T½,References,Notes,Type,
Stora Hästevatten S,58° 03ʹ N,12° 01ʹ E,Sweden,Lake,Oligotrophic," 40 "," 8.5 "," 311 000 ",0.64,1.22,4.56,2.480,0.544,0.456,1.39,38,,DOC sink,
Gaffeln,58° 03ʹ N,12° 02ʹ E,Sweden,Lake,Oligotrophic," 48 "," 5.1 "," 350 000 ",0.64,1.72,6.36,3.599,0.566,0.434,2.10,38,,DOC sink,
Lilla Hästevatten,58° 03ʹ N,12° 01ʹ E,Sweden,Lake,Oligotrophic," 106 "," 17.8 "," 746 000 ",0.64,1.10,5.60,2.631,0.470,0.530,1.01,38,,DOC sink,
Gäddtjärn,59° 86ʹ N,15° 18ʹ E,Sweden,Lake,Oligotrophic," 226 "," 6.8 "," 231 200 ",0.76,0.13,15.00,11.720,0.781,0.219,0.38,S8,,DOC sink,
Kinder,53° 23ʹ N,01° 55ʹ W,UK,Reservoir,Oligotrophic," 872 "," 18.0 "," 2 343 000 ",0.95,0.28,6.89,5.350,0.776,0.224,0.78,S9,,DOC sink,
Black Esk,55° 15ʹ N,03° 15ʹ W,UK,Reservoir,Oligotrophic," 1 813 "," 33.5 "," 3 147 000 ",1.49,0.12,9.25,7.303,0.789,0.211,0.34,S10,D,DOC sink,
Conwy,52° 59ʹ N,03° 49ʹ W,UK,Lake,Oligotrophic," 96 "," 40.1 "," 3 074 000 ",2.10,1.53,14.56,7.434,0.511,0.489,1.57,"S11, S12",,DOC sink,
Cone Pond,43° 54ʹ N,71° 36ʹ W,USA,Lake,Oligotrophic," 53 "," 3.1 "," 120 000 ",0.87,0.25,4.08,1.848,0.453,0.547,0.22,S13,,DOC sink,
Savalbeg,58° 04ʹ N,04° 22ʹ W,UK,Lake*,Oligotrophic," 319 "," 50.9 "," 797 877 ",0.64,0.39,10.93,5.535,0.506,0.494,0.34,S10,,DOC sink,
Superior,46° 27ʹ N,84° 32ʹ W,USA/Canada,Lake,Oligotrophic," 20 800 000 "," 8 200 000 "," 12 500 000 000 000 ",0.24,170.00,2.79,0.433,0.155,0.845,63.24,S14,,DOC sink,
Paijanne,61° 12ʹ N,25° 43ʹ E,Finland,Lake,Oligotrophic," 2 645 900 "," 108 300 "," 18 100 000 000 ",0.26,2.50,2.30,1.788,0.778,0.222,6.89,S15,,DOC sink,
Malawi,14° 24ʹ S,35° 14ʹ E,Malawi,Lake,Oligotrophic," 6 500 000 "," 2 880 000 "," 8 300 000 000 000 ",0.13,692.00,1.06,0.102,0.096,0.904,204.94,S16,,DOC sink,
Diefenbaker,50° 59ʹ N,106° 26ʹ W,Canada,Reservoir,Oligotrophic," 13 550 000 "," 50 000 "," 9 400 000 000 ",0.05,1.30,0.54,0.299,0.553,0.447,1.52,S17,,DOC sink,
Plešné,48° 47ʹ N,13° 52ʹ E,Czech Republic,Lake,Mesotrophic," 67 "," 7.5 "," 617 000 ",1.18,0.70,8.71,4.932,0.566,0.434,0.85,S2,,DOC sink,
Buffalo Pound,50° 34ʹ N,105° 20ʹ W,Canada,Lake*,Mesotrophic," 331 000 "," 2 910 "," 87 500 000 ",0.04,0.70,0.42,0.234,0.563,0.437,0.85,S17,,DOC sink,
Friskjön,57° 26ʹ N,16° 37ʹ E,Sweden,Lake,Mesotrophic," 185 "," 13.0 "," 233 000 ",0.16,0.72,5.21,2.764,0.531,0.469,0.79,33,,DOC sink,
Mälaren,59° 18ʹ N,17° 56ʹ E,Sweden,Lake,Mesotrophic," 2 260 300 "," 109 600 "," 14 000 000 000 ",0.23,2.64,2.49,1.830,0.736,0.264,5.97,"21, S18",,DOC sink,
Bret,46° 30ʹ N,06° 46ʹ E,Switzerland,Lake,Mesotrophic," 2 300 "," 50 "," 4 600 000 ",0.20,1.00,0.69,0.425,0.620,0.380,1.45,S19,E,DOC sink,
Burr Oak,39° 31ʹ N,82° 60ʹ W,USA,Reservoir,Mesotrophic," 8 600 "," 270.0 "," 12 150 000 ",0.76,0.18,2.13,1.458,0.686,0.314,0.48,S36,,DOC sink,
Valkea-Kotinen,61° 14ʹ N,25° 03ʹ E,Finland,Lake,Oligotrophic," 30 "," 3.7 "," 80 000 ",0.20,1.33,2.22,2.343,1.056,-0.056,,34,,Balanced,
Fjellgardsvatn,59° 33ʹ N,06° 02ʹ E,Norway,Lake,Oligotrophic," 6 790 "," 227 "," 95 340 000 ",3.08,0.46,3.31,3.547,1.072,-0.072,,"S5, S6",,Balanced,
Lundetjenn,58° 21ʹ N,08° 26ʹ E,Norway,Lake,Oligotrophic," 200 "," 4.0 "," 280 000 ",1.45,0.10,8.32,8.276,0.994,0.006,,"S5, S6",,Balanced,
Glenlatterach,57° 33ʹ N,03° 21ʹ W,UK,Reservoir,Oligotrophic," 1 409 "," 20.1 "," 2 056 000 ",0.43,0.34,7.49,7.224,0.964,0.036,,S10,D,Balanced,
Alturas,43° 55ʹ N,114° 50ʹ W,USA,Lake,Oligotrophic," 7 610 "," 334 "," 108 200 000 ",0.87,1.59,1.52,1.510,0.993,0.007,,S20,F,Balanced,
Hell Roaring,44° 01ʹ N,114° 55ʹ W,USA,Lake,Oligotrophic," 2 070 "," 24.0 "," 1 900 000 ",1.01,0.09,1.35,1.380,1.022,-0.022,,S20,F,Balanced,
Little Redfish,44° 06ʹ N,111° 32ʹ W,USA,Lake,Oligotrophic," 11 310 "," 26.0 "," 900 000 ",0.71,0.01,1.52,1.630,1.072,-0.072,,S20,F,Balanced,
Pettit,43° 59ʹ N,114° 52ʹ W,USA,Lake,Oligotrophic," 2 760 "," 162.0 "," 10 400 000 ",0.75,2.03,1.16,1.240,1.069,-0.069,,S20,F,Balanced,
Yellow Belly,44° 02ʹ N,114° 52ʹ W,USA,Lake,Oligotrophic," 3 000 "," 79.0 "," 10 300 000 ",0.77,0.48,1.20,1.300,1.083,-0.083,,S20,F,Balanced,
Arbutus,43° 59ʹ N,74° 14ʹ W,USA,Lake,Oligotrophic," 352 "," 50.0 "," 1 500 000 ",0.71,0.60,3.25,3.535,1.087,-0.087,,"S21, S22",,Balanced,
Biwa,35° 01ʹ N,135° 53ʹ E,Japan,Lake,Oligotrophic," 384 800 "," 67 400 "," 27 500 000 000 ",1.30,5.50,1.65,1.585,0.960,0.039,,"S23, S24",G,Balanced,
Shingobee,47° 00ʹ N,94° 41ʹ W,USA,Lake,Mesotrophic," 2 270 "," 65.6 "," 2 040 000 ",0.43,0.40,1.91,1.798,0.941,0.059,,36,,Balanced,
Katepwa,50° 39ʹ N,103° 36ʹ W,Canada,Lake,Eutrophic," 393 698 "," 1 620 "," 233 200 000 ",0.05,1.30,0.51,0.524,1.027,-0.027,,S15,H,Balanced,
Wascana,50° 26ʹ N,104° 36ʹ W,Canada,Reservoir,Eutrophic," 2 195 "," 50.0 "," 700 000 ",0.05,0.01,0.73,0.734,1.000,0.000,,S15,I,Balanced,
Vörtsjärv,58° 08ʹ N,26° 04ʹ E,Estonia,Lake,Eutrophic," 310 400 "," 27 000 "," 756 000 000 ",0.22,1.00,5.45,5.884,1.079,-0.079,,32,,Balanced,
Aydat,45° 40ʹ N,02° 59ʹ E,France,Lake,Eutrophic," 3 000 "," 61.0 "," 5 246 000 ",0.28,0.63,0.54,0.584,1.091,-0.091,,"S25, S26",H,Balanced,
Rophemel,48° 19ʹ N,02° 03ʹ E,France,Reservoir,Eutrophic," 38 000 "," 77.0 "," 4 000 000 ",0.19,0.05,2.47,2.468,0.998,0.002,,"S27, S28",,Balanced,
Vansjø,59° 26ʹ N,10° 53ʹ E,Norway,Lake,Eutrophic," 68 800 "," 3 600 "," 324 000 000 ",0.94,0.50,8.12,8.759,1.078,-0.078,,S6,,Balanced,
Taylorsville,38° 00ʹ N,85° 18ʹ W,USA,Reservoir,Eutrophic," 187 143 "," 1 234 "," 103 656 000 ",0.24,0.23,1.16,1.116,0.961,0.039,,S29,J,Balanced,
Bull Trout,44° 18ʹ N,115° 15ʹ W,USA,Lake,Oligotrophic," 1 160 "," 25.0 "," 1 280 000 ",0.85,0.13,1.16,1.430,1.233,-0.233,,S20,,Source,
Stanley,44° 14ʹ N,115° 02ʹ W,USA,Reservoir,Oligotrophic," 4 050 "," 86.0 "," 10 400 000 ",0.90,0.30,1.14,1.530,1.342,-0.342,,S20,,Source,
Lawrence,42° 26ʹ N,85° 21ʹ W,USA,Lake,Oligotrophic," 40 "," 5.0 "," 292 000 ",0.50,1.45,2.58,4.420,1.713,-0.713,,35,K,Source,
Williams,46° 57ʹ N,94° 40ʹ W,USA,Lake,Oligotrophic," 177 "," 39.3 "," 2 040 000 ",0.20,3.50,0.58,1.490,2.554,-1.554,,36,L,Source,
Eckarfjärden,60° 22ʹ N,18° 12ʹ E,Sweden,Lake,Mesotrophic," 130 "," 28.0 "," 380 000 ",0.28,1.05,1.66,3.160,1.904,-0.904,,"S30, S31",,Source,
Woods Pond,45° 53ʹ N,64° 24ʹ W,Canada,Lake,Mesotrophic," 19 "," 1.1 "," 11 000 ",0.66,0.08,73.89,83.957,1.136,-0.136,,31,M,Source,
Baddinsgill,55° 47ʹ N,03° 23ʹ W,UK,Reservoir,Mesotrophic," 1 346 "," 22.9 "," 2 250 000 ",0.90,0.19,8.14,9.390,1.154,-0.154,,S10,D,Source,
West Water,55° 45ʹ N,03° 24ʹ W,UK,Reservoir,Mesotrophic," 680 "," 37.5 "," 3 364 000 ",0.74,0.67,6.99,9.001,1.287,-0.287,,S10,D,Source,
Loch Leven,56° 10ʹ N,3° 20ʹ W,UK,Lake,Mesotrophic," 14 500 "," 1 330 "," 52 400 000 ",1.11,0.30,4.84,5.591,1.156,-0.156,,"S32, S33",,Source,
Last Mountain Lake,50° 43ʹ N,104° 51ʹ W,Canada,Lake,Eutrophic," 314 785 "," 22 260.0 "," 1 807 200 000 ",0.05,12.60,0.33,0.583,1.792,-0.792,,S15,H,Source,
Horseshoe-Bartlett,33° 49ʹ N,111° 37ʹ W,USA,Reservoir,Eutrophic," 1 517 200 "," 2 621.0 "," 17 232 000 ",0.06,0.19,0.22,0.313,1.401,-0.401,,46,N,Source,
Crooked Lake,50° 36ʹ N,102° 40ʹ W,Canada,Lake,Eutrophic," 530 682 "," 1 500.0 "," 120 900 000 ",0.05,0.50,0.29,0.501,1.735,-0.735,,S15,H,Source,
Marne,48° 35ʹ N,4° 43ʹ E,France,Reservoir,Eutrophic," 1 276 200 "," 2 000.0 "," 164 300 000 ",0.02,0.53,0.26,0.491,1.857,-0.857,,"45, S34",O,Source,
Kasimagaura,35° 58ʹ N,140° 28ʹ E,Japan,Lake,Eutrophic," 159 700 "," 17 100.0 "," 684 000 000 ",0.43,1.00,1.06,1.476,1.392,-0.392,,S35,,Source,
Acton,39° 34ʹ N,84° 44ʹ W,USA,Reservoir,Eutrophic," 25 700 "," 250.0 "," 9 750 000 ",0.05,0.80,1.62,2.261,1.398,-0.398,,S36,,Source,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
